Method,Validation Accuracy,Validation Precision,Validation Recall,Validation F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score
Original,0.7744360902255639,0.7724918356497305,0.7744360902255639,0.7732806529066294,0.7910447761194029,0.7898522369426276,0.7910447761194029,0.7874325849742883
SMOTE,0.8727272727272727,0.8741473086300671,0.8727272727272727,0.8726337207942559,0.8,0.8000887049083383,0.8,0.799778801843318
NearMiss,0.7941176470588235,0.8140175219023779,0.7941176470588235,0.7947712418300653,0.8235294117647058,0.8244568619722229,0.8235294117647058,0.822703818369453
